iter	Passed	Remaining
0	159	479545
1	230	345780
2	293	292944
3	358	268164
4	421	252698
5	482	240731
6	542	232003
7	605	226581
8	684	227579
9	796	238203
10	856	232712
11	956	238061
12	1035	238039
13	1087	231987
14	1133	225616
15	1179	220054
16	1211	212639
17	1255	207927
18	1301	204135
19	1346	200642
20	1393	197743
21	1454	196915
22	1488	192601
23	1535	190381
24	1596	190007
25	1679	192153
26	1768	194708
27	1852	196671
28	1913	196039
29	1994	197409
30	2073	198561
31	2159	200260
32	2234	200938
33	2258	197044
34	2346	198747
35	2419	199206
36	2511	201103
37	2600	202673
38	2689	204179
39	2762	204438
40	2831	204378
41	2880	202882
42	2915	200484
43	2964	199192
44	3014	197939
45	3064	196767
46	3120	196067
47	3177	195423
48	3203	192950
49	3215	189724
50	3272	189252
51	3322	188366
52	3370	187410
53	3418	186507
54	3434	183888
55	3478	182864
56	3528	182190
57	3577	181450
58	3635	181240
59	3684	180516
60	3738	180139
61	3789	179553
62	3830	178555
63	3879	177959
64	3930	177455
65	3986	177205
66	4035	176678
67	4091	176417
68	4140	175866
69	4189	175380
70	4242	175024
71	4289	174453
72	4361	174884
73	4376	173059
74	4453	173699
75	4521	173957
76	4596	174494
77	4660	174584
78	4708	174104
79	4758	173700
80	4807	173247
81	4852	172664
82	4895	172042
83	4943	171606
84	4987	171031
85	5032	170524
86	5078	170026
87	5123	169532
88	5167	169022
89	5215	168622
90	5261	168183
91	5331	168531
92	5417	169331
93	5508	170291
94	5594	171081
95	5645	170763
96	5700	170590
97	5752	170358
98	5797	169878
99	5841	169408
100	5887	168976
101	5934	168611
102	5980	168201
103	6033	168021
104	6087	167839
105	6140	167647
106	6193	167455
107	6243	167176
108	6294	166944
109	6361	167142
110	6399	166560
111	6448	166280
112	6498	166038
113	6554	165934
114	6602	165628
115	6649	165322
116	6698	165069
117	6750	164881
118	6801	164674
119	6848	164354
120	6893	164027
121	6939	163714
122	6962	162857
123	7007	162517
124	7055	162277
125	7079	161482
126	7104	160720
127	7148	160402
128	7196	160174
129	7243	159922
130	7289	159638
131	7335	159386
132	7382	159143
133	7430	158919
134	7495	159063
135	7568	159388
136	7635	159568
137	7696	159618
138	7769	159914
139	7833	160027
140	7901	160209
141	7977	160559
142	8058	160993
143	8133	161317
144	8200	161457
145	8257	161423
146	8323	161541
147	8384	161569
148	8450	161689
149	8496	161440
150	8591	162095
151	8654	162166
152	8705	161983
153	8758	161853
154	8819	161885
155	8885	161998
156	8951	162102
157	9016	162184
158	9083	162303
159	9139	162229
160	9195	162143
161	9256	162157
162	9317	162167
163	9383	162267
164	9452	162407
165	9510	162370
166	9580	162530
167	9636	162448
168	9689	162310
169	9745	162231
170	9759	161457
171	9815	161380
172	9863	161181
173	9912	160999
174	9969	160930
175	10020	160783
176	10072	160651
177	10123	160489
178	10173	160334
179	10220	160127
180	10269	159944
181	10319	159783
182	10369	159619
183	10389	159000
184	10437	158823
185	10492	158737
186	10544	158612
187	10593	158458
188	10644	158319
189	10696	158201
190	10751	158115
191	10802	157983
192	10851	157828
193	10865	157157
194	10913	156992
195	10970	156943
196	11052	157264
197	11120	157373
198	11176	157310
199	11244	157420
200	11303	157403
201	11382	157663
202	11449	157753
203	11472	157239
204	11495	156725
205	11546	156600
206	11615	156724
207	11668	156628
208	11723	156550
209	11777	156468
210	11830	156376
211	11878	156216
212	11928	156073
213	11979	155951
214	12027	155801
215	12076	155648
216	12129	155553
217	12178	155416
218	12228	155287
219	12281	155196
220	12328	155024
221	12377	154880
222	12423	154711
223	12469	154534
224	12518	154399
225	12576	154371
226	12696	155101
227	12748	154992
228	12797	154850
229	12851	154782
230	12905	154698
231	12961	154638
232	12980	154155
233	13034	154075
234	13088	153993
235	13100	153433
236	13152	153331
237	13204	153241
238	13233	152872
239	13285	152785
240	13336	152681
241	13385	152554
242	13399	152024
243	13450	151925
244	13502	151830
245	13558	151783
246	13609	151684
247	13668	151678
248	13721	151600
249	13768	151451
250	13817	151332
251	13864	151186
252	13916	151097
253	13972	151059
254	14023	150960
255	14073	150854
256	14087	150353
257	14132	150200
258	14150	149757
259	14197	149623
260	14246	149503
261	14293	149369
262	14340	149243
263	14388	149113
264	14436	148992
265	14489	148929
266	14560	149037
267	14641	149257
268	14702	149261
269	14764	149289
270	14791	148956
271	14858	149018
272	14924	149076
273	14994	149175
274	15060	149234
275	15127	149305
276	15192	149348
277	15257	149389
278	15324	149458
279	15397	149579
280	15466	149656
281	15523	149619
282	15579	149575
283	15649	149660
284	15726	149811
285	15798	149920
286	15866	149980
287	15932	150030
288	15995	150047
289	16021	149715
290	16079	149684
291	16134	149631
292	16187	149554
293	16241	149485
294	16296	149433
295	16372	149565
296	16438	149611
297	16489	149514
298	16538	149400
299	16589	149309
300	16638	149197
301	16691	149115
302	16744	149041
303	16793	148931
304	16844	148841
305	16901	148803
306	16955	148734
307	17009	148665
308	17058	148562
309	17106	148441
310	17155	148332
311	17212	148292
312	17258	148160
313	17304	148024
314	17349	147886
315	17398	147775
316	17444	147642
317	17502	147615
318	17576	147719
319	17644	147768
320	17716	147858
321	17787	147935
322	17852	147960
323	17926	148060
324	17992	148092
325	18058	148124
326	18124	148158
327	18194	148219
328	18255	148208
329	18304	148101
